zona_inyeccion,zona_extraccion,capacidad_base_firme,uso_base_firme,capacidad_base_firme_temporal,uso_base_firme_temporal,capacidad_base_interrumpible,uso_base_interrumpible,volumetrica,fecha_inicio,fecha_fin,,,Precio Total
Occidente,Norte,0,0,0,0,0,0,0,1/7/2016,30/09/2016,,,0
Occidente,Istmo,0,0,0,0,0,0,0,1/7/2016,30/09/2016,,,0
Golfo,Sur,0,0,0,0,0,0,0,1/7/2016,30/09/2016,,,0
Golfo,Centro,9.76771,0.05772,9.82607,0.05772,9.72985,0.05772,10.68286,1/7/2016,30/09/2016,,,104.3470785
Golfo,Occidente,13.29252,0.07324,13.3664,0.07324,13.23523,0.07324,14.53829,1/7/2016,30/09/2016,,,193.2505106
Golfo,Golfo,5.90916,0.02751,5.93717,0.02751,5.87913,0.02751,6.46349,1/7/2016,30/09/2016,,,38.19379657
Golfo,Norte,12.20203,0.07211,12.2744,0.07211,12.1536,0.07211,13.34332,1/7/2016,30/09/2016,,,162.8155909
Golfo,Istmo,0,0,0,0,0,0,0,1/7/2016,30/09/2016,,,0
Norte,Sur,0,0,0,0,0,0,0,1/7/2016,30/09/2016,,,0
Norte,Centro,0,0,0,0,0,0,0,1/7/2016,30/09/2016,,,0
Norte,Occidente,0,0,0,0,0,0,0,1/7/2016,30/09/2016,,,0
Norte,Golfo,12.20203,0.07211,12.2744,0.07211,12.1536,0.07211,13.34332,1/7/2016,30/09/2016,,,162.8155909
Norte,Norte,7.51926,0.0446,7.56361,0.0446,7.4887,0.0446,8.22175,1/7/2016,30/09/2016,,,61.82147591
Norte,Istmo,0,0,0,0,0,0,0,1/7/2016,30/09/2016,,,0
Sur,Sur,3.92438,0.01585,3.94026,0.01585,3.90146,0.01585,4.29222,1/10/2016,31/12/2016,,,16.84430232
Sur,Centro,12.46572,0.07357,12.53995,0.07357,12.41707,0.07357,13.63316,1/10/2016,31/12/2016,,,169.9471553
Sur,Occidente,15.99052,0.08909,16.08027,0.08909,15.92245,0.08909,17.48858,1/10/2016,31/12/2016,,,279.6514883
Sur,Golfo,8.60716,0.04336,8.65104,0.04336,8.56636,0.04336,9.41379,1/10/2016,31/12/2016,,,81.02599674
Sur,Norte,14.90003,0.08796,14.98827,0.08796,14.84082,0.08796,16.29362,1/10/2016,31/12/2016,,,242.7754268
Sur,Istmo,10.55778,0.05926,10.61683,0.05926,10.51323,0.05926,12.01837,1/10/2016,31/12/2016,,,126.8873064
Occidente,Sur,0,0,0,0,0,0,0,1/10/2016,31/12/2016,,,0
Occidente,Centro,9.17972,0.04573,9.22559,0.04573,9.13467,0.04573,10.0404,1/10/2016,31/12/2016,,,92.16806069
Occidente,Occidente,5.32116,0.01552,5.33669,0.01552,5.28395,0.01552,5.82103,1/10/2016,31/12/2016,,,30.97463199
Occidente,Golfo,13.8625,0.07324,13.93638,0.07324,13.79956,0.07324,15.16197,1/10/2016,31/12/2016,,,210.1828091
Occidente,Norte,0,0,0,0,0,0,0,1/10/2016,31/12/2016,,,0
Occidente,Istmo,0,0,0,0,0,0,0,1/10/2016,31/12/2016,,,0
Golfo,Sur,0,0,0,0,0,0,0,1/10/2016,31/12/2016,,,0
Golfo,Centro,10.33769,0.05772,10.39605,0.05772,10.29418,0.05772,11.30654,1/10/2016,31/12/2016,,,116.8835055
Golfo,Occidente,13.8625,0.07324,13.93638,0.07324,13.79956,0.07324,15.16197,1/10/2016,31/12/2016,,,210.1828091
Golfo,Golfo,6.47913,0.02751,6.50715,0.02751,6.44347,0.02751,7.08717,1/10/2016,31/12/2016,,,45.91869576
Golfo,Norte,12.77201,0.07211,12.84438,0.07211,12.71793,0.07211,13.967,1/10/2016,31/12/2016,,,178.3866637
Golfo,Istmo,0,0,0,0,0,0,0,1/10/2016,31/12/2016,,,0
Norte,Sur,0,0,0,0,0,0,0,1/10/2016,31/12/2016,,,0
Norte,Centro,0,0,0,0,0,0,0,1/10/2016,31/12/2016,,,0
Norte,Occidente,0,0,0,0,0,0,0,1/10/2016,31/12/2016,,,0
Norte,Golfo,12.77201,0.07211,12.84438,0.07211,12.71793,0.07211,13.967,1/10/2016,31/12/2016,,,178.3866637
Norte,Norte,8.08924,0.0446,8.13359,0.0446,8.05304,0.0446,8.84543,1/10/2016,31/12/2016,,,71.55280617
Norte,Istmo,0,0,0,0,0,0,0,1/10/2016,31/12/2016,,,0
,,,,,,,,,,,,,Promedio
,,,,,,,,,,,,,70.24528611
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sur,Sur,4.15858,0.01713,4.17574,0.01713,4.13462,0.01713,4.54833,1/1/2017,31/03/2017,,,18.91459417
Sur,Centro,13.66202,0.07952,13.74226,0.07952,13.60758,0.07952,14.94161,1/1/2017,31/03/2017,,,204.1325747
Sur,Occidente,17.61902,0.0963,17.71604,0.0963,17.54213,0.0963,19.26984,1/1/2017,31/03/2017,,,339.5156964
Sur,Golfo,9.38634,0.04687,9.43378,0.04687,9.34141,0.04687,10.26604,1/1/2017,31/03/2017,,,96.36054189
Sur,Norte,16.37918,0.09508,16.47456,0.09508,16.31246,0.09508,17.9113,1/1/2017,31/03/2017,,,293.3724067
Sur,Istmo,11.41815,0.06405,11.48199,0.06405,11.36993,0.06405,12.99752,1/1/2017,31/03/2017,,,148.407633
Occidente,Sur,0,0,0,0,0,0,0,1/1/2017,31/03/2017,,,0
Occidente,Centro,10.02978,0.04943,10.07936,0.04943,9.98001,0.04943,10.9702,1/1/2017,31/03/2017,,,110.0286926
Occidente,Occidente,5.7541,0.01678,5.77088,0.01678,5.71385,0.01678,6.29464,1/1/2017,31/03/2017,,,36.21998802
Occidente,Golfo,15.25754,0.07917,15.3374,0.07917,15.1868,0.07917,16.68791,1/1/2017,31/03/2017,,,254.6164543
Occidente,Norte,0,0,0,0,0,0,0,1/1/2017,31/03/2017,,,0
Occidente,Istmo,0,0,0,0,0,0,0,1/1/2017,31/03/2017,,,0
Golfo,Sur,9.38634,0.04687,9.43378,0.04687,9.34141,0.04687,10.26604,1/1/2017,31/03/2017,,,96.36054189
Golfo,Centro,11.30054,0.06239,11.36362,0.06239,11.25225,0.06239,12.35968,1/1/2017,31/03/2017,,,139.6710582
Golfo,Occidente,15.25754,0.07917,15.3374,0.07917,15.1868,0.07917,16.68791,1/1/2017,31/03/2017,,,254.6164543
Golfo,Golfo,7.02486,0.02974,7.05514,0.02974,6.98609,0.02974,7.68412,1/1/2017,31/03/2017,,,53.97986722
Golfo,Norte,14.01769,0.07795,14.09592,0.07795,13.95713,0.07795,15.32937,1/1/2017,31/03/2017,,,214.8823566
Golfo,Istmo,0,0,0,0,0,0,0,1/1/2017,31/03/2017,,,0
Norte,Sur,0,0,0,0,0,0,0,1/1/2017,31/03/2017,,,0
Norte,Centro,0,0,0,0,0,0,0,1/1/2017,31/03/2017,,,0
Norte,Occidente,0,0,0,0,0,0,0,1/1/2017,31/03/2017,,,0
Norte,Golfo,14.01769,0.07795,14.09592,0.07795,13.95713,0.07795,15.32937,1/1/2017,31/03/2017,,,214.8823566
Norte,Norte,8.78993,0.04821,8.83788,0.04821,8.75034,0.04821,9.61167,1/1/2017,31/03/2017,,,84.48590648
Norte,Istmo,0,0,0,0,0,0,0,1/1/2017,31/03/2017,,,0
Sur,Sur,5.15088,0.01713,5.16804,0.01713,5.1171,0.01713,5.63412,1/4/2017,30/06/2017,,,29.02067603
Sur,Centro,14.65432,0.07952,14.73456,0.07952,14.59006,0.07952,16.0274,1/4/2017,30/06/2017,,,234.8706484
Sur,Occidente,18.61132,0.0963,18.70834,0.0963,18.52461,0.0963,20.35563,1/4/2017,30/06/2017,,,378.8451437
Sur,Golfo,10.37864,0.04687,10.42608,0.04687,10.32389,0.04687,11.35183,1/4/2017,30/06/2017,,,117.8165569
Sur,Norte,17.37148,0.09508,17.46686,0.09508,17.29494,0.09508,18.99709,1/4/2017,30/06/2017,,,330.007569
Sur,Istmo,12.41045,0.06405,12.47429,0.06405,12.35241,0.06405,14.08331,1/4/2017,30/06/2017,,,174.7802146
Occidente,Sur,0,0,0,0,0,0,0,1/4/2017,30/06/2017,,,0
Occidente,Centro,11.02208,0.04943,11.07166,0.04943,10.96249,0.04943,12.05599,1/4/2017,30/06/2017,,,132.8820863
Occidente,Occidente,6.7464,0.01678,6.76318,0.01678,6.69633,0.01678,7.38043,1/4/2017,30/06/2017,,,49.79133295
Occidente,Golfo,16.24984,0.07917,16.3297,0.07917,16.16928,0.07917,17.7737,1/4/2017,30/06/2017,,,288.8197812
Occidente,Norte,0,0,0,0,0,0,0,1/4/2017,30/06/2017,,,0
Occidente,Istmo,0,0,0,0,0,0,0,1/4/2017,30/06/2017,,,0
Golfo,Sur,10.37864,0.04687,10.42608,0.04687,10.32389,0.04687,11.35183,1/4/2017,30/06/2017,,,117.8165569
Golfo,Centro,12.29284,0.06239,12.35592,0.06239,12.23473,0.06239,13.44547,1/4/2017,30/06/2017,,,165.2830114
Golfo,Occidente,16.24984,0.07917,16.3297,0.07917,16.16928,0.07917,17.7737,1/4/2017,30/06/2017,,,288.8197812
Golfo,Golfo,8.01716,0.02974,8.04744,0.02974,7.96857,0.02974,8.76991,1/4/2017,30/06/2017,,,70.30977166
Golfo,Norte,15.00999,0.07795,15.08822,0.07795,14.93961,0.07795,16.41516,1/4/2017,30/06/2017,,,246.3913874
Golfo,Istmo,0,0,0,0,0,0,0,1/4/2017,30/06/2017,,,0
Norte,Sur,0,0,0,0,0,0,0,1/4/2017,30/06/2017,,,0
Norte,Centro,0,0,0,0,0,0,0,1/4/2017,30/06/2017,,,0
Norte,Occidente,0,0,0,0,0,0,0,1/4/2017,30/06/2017,,,0
Norte,Golfo,15.00999,0.07795,15.08822,0.07795,14.93961,0.07795,16.41516,1/4/2017,30/06/2017,,,246.3913874
Norte,Norte,9.78223,0.04821,9.83018,0.04821,9.73282,0.04821,10.69746,1/4/2017,30/06/2017,,,104.6450141
Norte,Istmo,0,0,0,0,0,0,0,1/4/2017,30/06/2017,,,0
Sur,Sur,1.7948,0.01713,1.81196,0.01713,1.79426,0.01713,1.96185,1/7/2017,30/09/2017,,,3.52112838
Sur,Centro,11.29824,0.07952,11.37848,0.07952,11.26721,0.07952,12.35513,1/7/2017,30/09/2017,,,139.591224
Sur,Occidente,15.25524,0.0963,15.35226,0.0963,15.20176,0.0963,16.68336,1/7/2017,30/09/2017,,,254.5086608
Sur,Golfo,7.02256,0.04687,7.07,0.04687,7.00105,0.04687,7.67956,1/7/2017,30/09/2017,,,53.93017087
Sur,Norte,14.0154,0.09508,14.11078,0.09508,13.97209,0.09508,15.32482,1/7/2017,30/09/2017,,,214.7834822
